,"Principal Figures(2008SNA)",
,,""
"Period","Population (Mid-Year,Persons)","Per Capita GDP ( U.S.$,at Current Prices )"
"2003",22562663,14066
"2004",22646836,15317
"2005",22729753,16456
"2006",22823455,16934
"2007",22917444,17757
"2008",22997696,18081
"2009",23078402,16933
"2010",23140948,19197
"2011",23193518,20866
"2012",23270367,21295
"2013",23344670,21973
"2014",23403635,22874
"2015",23462914,22780
"2016",23515945,23091
"2017",23555522,25121
"2018",23580080,25901
"2019",23596027,25998
"2020",23582179,28705
"2021",23468275,33111
"2022",23319977,32827


"Footnote�G"
"1.2025 revised."
"2.2025Q4 revised, 2026Q1 preliminary"
""
